"TIME" "day","TOA","SWin","LWin","Tair","RH","rain"
"yyyy-mm-dd HH:MM:SS","TF","W.m-2","W.m-2","W.m-2","Celsius","%","mm"
2010-10-11 16:45:00,TRUE,92.6209514512074,65.35,283.281755693978,15.9572219848633,50.7900009155273,0
2010-10-11 17:00:00,TRUE,38.9026345542526,35.59,282.669758887044,15.6167593002319,52.5988845825195,0
2010-10-11 17:15:00,FALSE,0,11.34,283.2254469047,15.2834253311157,54.6121559143066,0
2010-10-11 17:30:00,FALSE,0,0.655,282.251021348677,14.8205556869507,57.2861099243164,0
2010-10-11 17:45:00,FALSE,0,0,280.3793946112,14.5033330917358,58.3666648864746,0
2010-10-11 18:00:00,FALSE,0,0,279.596968916775,14.1402235031128,59.0715065002441,0
2010-10-11 18:15:00,FALSE,0,0,279.077556152344,13.7188892364502,60.7150001525879,0
2010-10-11 18:30:00,FALSE,0,0,278.963204926955,13.2312059402466,62.9794311523438,0
2010-10-11 18:45:00,FALSE,0,0,278.753904682912,12.8766670227051,64.728889465332,0
2010-10-11 19:00:00,FALSE,0,0,277.949644873537,12.5368719100952,67.7486038208008,0
2010-10-11 19:15:00,FALSE,0,0,276.718454262337,12.4327774047852,70.3966674804688,0
2010-10-11 19:30:00,FALSE,0,0,278.59618075218,12.1244440078735,73.3077774047852,0
2010-10-11 19:45:00,FALSE,0,0,286.110312482044,11.8933334350586,75.4261093139648,0
2010-10-11 20:00:00,FALSE,0,0,307.705840595235,11.6508378982544,76.7726287841797,0
2010-10-11 20:15:00,FALSE,0,0,335.515840595235,11.4544448852539,77.6494445800781,0
2010-10-11 20:30:00,FALSE,0,0,326.913583984594,11.2722225189209,78.5861129760742,0
2010-10-11 20:45:00,FALSE,0,0,313.559345920287,11.1505556106567,79.3183364868164,0
2010-10-11 21:00:00,FALSE,0,0,325.705704174783,11.022346496582,79.8044662475586,0
2010-10-11 21:15:00,FALSE,0,0,318.230074772544,10.7872219085693,80.9072189331055,0
2010-10-11 21:30:00,FALSE,0,0,328.215760082868,10.5544443130493,82.1722259521484,0
2010-10-11 21:45:00,FALSE,0,0,346.915760082868,10.4727773666382,82.4516677856445,0
2010-10-11 22:00:00,FALSE,0,0,354.075760082868,10.4033517837524,82.6324005126953,0
2010-10-11 22:15:00,FALSE,0,0,347.8856320512,10.3000001907349,83.0555572509766,0
2010-10-11 22:30:00,FALSE,0,0,322.916391403786,10.2183427810669,83.2408294677734,0
2010-10-11 22:45:00,FALSE,0,0,286.064908922544,10.1738891601562,83.4094467163086,0
2010-10-11 23:00:00,FALSE,0,0,273.93245034262,10.0910615921021,83.4441375732422,0
2010-10-11 23:15:00,FALSE,0,0,268.4878571207,9.96833324432373,83.9305572509766,0
2010-10-11 23:30:00,FALSE,0,0,268.274083078139,9.91777801513672,84.0972213745117,0
2010-10-11 23:45:00,FALSE,0,0,275.160853576108,9.81555557250977,84.5,0
2010-10-12 00:00:00,FALSE,0,0,298.234083078139,9.68659210205078,84.7396621704102,0
2010-10-20 00:15:00,FALSE,0,0,240.622908513612,4.96777772903442,76.3844451904297,0
2010-10-20 00:30:00,FALSE,0,0,241.022908513612,4.88666677474976,76.1672210693359,0
2010-10-20 00:45:00,FALSE,0,0,241.134314003086,4.76222229003906,76.2955551147461,0
2010-10-20 01:00:00,FALSE,0,0,239.9587043952,4.7083797454834,77.055305480957,0
2010-10-20 01:15:00,FALSE,0,0,239.8587043952,4.58500003814697,77.037223815918,0
2010-10-20 01:30:00,FALSE,0,0,239.6587043952,4.49444437026978,76.0883331298828,0
2010-10-20 01:45:00,FALSE,0,0,239.571688540963,4.46833324432373,75.3622207641602,0
2010-10-20 02:00:00,FALSE,0,0,238.68519814884,4.34804487228394,75.0737457275391,0
2010-10-20 02:15:00,FALSE,0,0,237.89923284073,4.18944454193115,75.0677795410156,0
2010-10-20 02:30:00,FALSE,0,0,237.113792238674,4.10333347320557,75.3016662597656,0
2010-10-20 02:45:00,FALSE,0,0,236.428875964844,3.9655556678772,74.5294418334961,0
2010-10-20 03:00:00,FALSE,0,0,235.94448364155,3.96368718147278,73.9240188598633,0
2010-10-20 03:15:00,FALSE,0,0,235.360614891238,3.82833337783813,74.3694458007812,0
2010-10-20 03:30:00,FALSE,0,0,235.677269336491,3.79999995231628,74.7544479370117,0
2010-10-20 03:45:00,FALSE,0,0,235.694446600027,3.76388883590698,75.1466674804688,0
2010-10-20 04:00:00,FALSE,0,0,234.9121463047,3.66033530235291,75.2893829345703,0
2010-10-20 04:15:00,FALSE,0,0,234.5303680735,3.57111120223999,75.6650009155273,0
2010-10-20 04:30:00,FALSE,0,0,234.7303680735,3.55888891220093,75.6433334350586,0
2010-10-20 04:45:00,FALSE,0,0,234.549111529554,3.49611115455627,75.9966659545898,0
2010-10-20 05:00:00,FALSE,0,0,234.068376296124,3.44636869430542,75.9737396240234,0
2010-10-20 05:15:00,FALSE,0,0,233.288161996609,3.30777788162231,76.2688903808594,0
2010-10-20 05:30:00,FALSE,0,0,233.308468254544,3.25055551528931,76.3566665649414,0
